mode	p	total_cores	exit	wall_s	user_s	sys_s	cpu_core_s	peak_rss_kb	max_concurrent_align
faithful_dir	2	4	0	787	2997.47	89.75	3087.2	9976884	2
faithful_dir	4	8	0	414	2983.73	111.70	3095.4	10036712	2
faithful_dir	8	16	0	228	3051.79	104.10	3155.9	10213648	2
faithful_dir	12	24	0	165	3074.50	107.52	3182.0	10394288	2
faithful_dir	16	32	0	135	3160.84	90.19	3251.0	10582516	2
comb1pass	2	2	0	2688	5344.68	97.70	5442.4	11275548	1
comb1pass	4	4	0	1352	5339.08	73.36	5412.4	11331972	1
comb1pass	8	8	0	707	5427.63	68.44	5496.1	11445956	1
comb1pass	12	12	0	489	5475.02	66.40	5541.4	11559940	1
comb1pass	16	16	0	378	5543.78	60.78	5604.6	11671552	1
